"Frame","Module","Location","Address","Path"
"0","FLTMGR.SYS","FltDecodeParameters + 0x1cfd","0xfffff8072567fa8d","C:\Windows\System32\drivers\FLTMGR.SYS"
"1","FLTMGR.SYS","FltDecodeParameters + 0x1840","0xfffff8072567f5d0","C:\Windows\System32\drivers\FLTMGR.SYS"
"2","FLTMGR.SYS","FltQueryInformationFile + 0x963","0xfffff807256b7d13","C:\Windows\System32\drivers\FLTMGR.SYS"
"3","ntoskrnl.exe","IofCallDriver + 0x59","0xfffff80727c37159","C:\Windows\system32\ntoskrnl.exe"
"4","ntoskrnl.exe","PsGetProcessWow64Process + 0x104","0xfffff80727d0a404","C:\Windows\system32\ntoskrnl.exe"
"5","ntoskrnl.exe","SeQueryInformationToken + 0x22be","0xfffff807282010be","C:\Windows\system32\ntoskrnl.exe"
"6","ntoskrnl.exe","SeUnlockSubjectContext + 0x85f","0xfffff807281f666f","C:\Windows\system32\ntoskrnl.exe"
"7","ntoskrnl.exe","ObOpenObjectByNameEx + 0x201","0xfffff807281f4ad1","C:\Windows\system32\ntoskrnl.exe"
"8","ntoskrnl.exe","Ordinal1 + 0x129b","0xfffff807282b1afb","C:\Windows\system32\ntoskrnl.exe"
"9","ntoskrnl.exe","setjmpex + 0x7bb5","0xfffff80727dd5355","C:\Windows\system32\ntoskrnl.exe"
"10","ntdll.dll","ZwQueryAttributesFile + 0x14","0x7ffe4ee5ce94","C:\Windows\System32\ntdll.dll"
"11","wow64.dll","Wow64ShallowThunkSIZE_T64TO32 + 0x330d","0x7ffe4cf163fd","C:\Windows\System32\wow64.dll"
"12","wow64.dll","Wow64SystemServiceEx + 0x153","0x7ffe4cf17123","C:\Windows\System32\wow64.dll"
"13","wow64cpu.dll","TurboDispatchJumpAddressEnd + 0xb","0x77d01783","C:\Windows\System32\wow64cpu.dll"
"14","wow64cpu.dll","BTCpuSimulate + 0x9","0x77d01199","C:\Windows\System32\wow64cpu.dll"
"15","wow64.dll","Wow64LdrpInitialize + 0x26a","0x7ffe4cf1c77a","C:\Windows\System32\wow64.dll"
"16","wow64.dll","Wow64LdrpInitialize + 0x127","0x7ffe4cf1c637","C:\Windows\System32\wow64.dll"
"17","ntdll.dll","LdrInitShimEngineDynamic + 0x3133","0x7ffe4ee93da3","C:\Windows\System32\ntdll.dll"
"18","ntdll.dll","memset + 0x1e5a1","0x7ffe4ee81ba1","C:\Windows\System32\ntdll.dll"
"19","ntdll.dll","LdrInitializeThunk + 0x63","0x7ffe4ee31e53","C:\Windows\System32\ntdll.dll"
"20","ntdll.dll","LdrInitializeThunk + 0xe","0x7ffe4ee31dfe","C:\Windows\System32\ntdll.dll"
"21","ntdll.dll","NtQueryAttributesFile + 0xc","0x77d832ec","C:\Windows\SysWOW64\ntdll.dll"
"22","ntdll.dll","RtlQueryUnbiasedInterruptTime + 0xd64","0x77d75644","C:\Windows\SysWOW64\ntdll.dll"
"23","ntdll.dll","RtlDosSearchPath_Ustr + 0x5d5","0x77d5f325","C:\Windows\SysWOW64\ntdll.dll"
"24","KernelBase.dll","SearchPathW + 0xf9","0x7700d719","C:\Windows\SysWOW64\KernelBase.dll"
"25","KernelBase.dll","CreateProcessInternalW + 0xc00","0x76ff95b0","C:\Windows\SysWOW64\KernelBase.dll"
"26","KernelBase.dll","CreateProcessW + 0x2c","0x76ff892c","C:\Windows\SysWOW64\KernelBase.dll"
"27","parent.exe","CreateChildProcess + 0xd3, C:\Users\permi\source\repos\university\os\2_child_parent_proc\parent\parent.cpp(99)","0x801853","C:\Users\permi\source\repos\university\os\2_child_parent_proc\Debug\parent.exe"
"28","parent.exe","main + 0xec, C:\Users\permi\source\repos\university\os\2_child_parent_proc\parent\parent.cpp(28)","0x801c8c","C:\Users\permi\source\repos\university\os\2_child_parent_proc\Debug\parent.exe"
"29","parent.exe","invoke_main + 0x33, d:\agent\_work\3\s\src\vctools\crt\vcstartup\src\startup\exe_common.inl(77)","0x802793","C:\Users\permi\source\repos\university\os\2_child_parent_proc\Debug\parent.exe"
"30","parent.exe","__scrt_common_main_seh + 0x157, d:\agent\_work\3\s\src\vctools\crt\vcstartup\src\startup\exe_common.inl(281)","0x8025e7","C:\Users\permi\source\repos\university\os\2_child_parent_proc\Debug\parent.exe"
"31","parent.exe","__scrt_common_main + 0xd, d:\agent\_work\3\s\src\vctools\crt\vcstartup\src\startup\exe_common.inl(330)","0x80247d","C:\Users\permi\source\repos\university\os\2_child_parent_proc\Debug\parent.exe"
"32","parent.exe","mainCRTStartup + 0x8, d:\agent\_work\3\s\src\vctools\crt\vcstartup\src\startup\exe_main.cpp(16)","0x802818","C:\Users\permi\source\repos\university\os\2_child_parent_proc\Debug\parent.exe"
"33","kernel32.dll","BaseThreadInitThunk + 0x19","0x77276359","C:\Windows\SysWOW64\kernel32.dll"
"34","ntdll.dll","RtlGetAppContainerNamedObjectPath + 0xe4","0x77d78944","C:\Windows\SysWOW64\ntdll.dll"
"35","ntdll.dll","RtlGetAppContainerNamedObjectPath + 0xb4","0x77d78914","C:\Windows\SysWOW64\ntdll.dll"
